Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 5A2111E02041

Model Number: AP8853
RPDU Serial Number: 5A2111E02646
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	09:34:31	apc48764F	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:5A2111E02646)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/09/2025	20:51:18	1.15	1.17	26913.8	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	20:41:18	1.16	1.17	26913.6	   	   	5.4	5.4	2.2	3.2	2.2	3.3	
02/09/2025	20:31:18	1.14	1.17	26913.4	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	20:21:18	1.14	1.17	26913.2	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	20:11:18	1.17	1.17	26913.0	   	   	5.4	5.4	2.2	3.2	2.2	3.3	
02/09/2025	20:01:17	1.16	1.17	26912.8	   	   	5.4	5.4	2.2	3.2	2.2	3.3	
02/09/2025	19:51:17	1.15	1.17	26912.6	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	19:41:17	1.17	1.17	26912.4	   	   	5.4	5.4	2.2	3.2	2.2	3.3	
02/09/2025	19:31:17	1.14	1.17	26912.2	   	   	5.3	5.4	2.1	3.3	2.2	3.3	
02/09/2025	19:21:17	1.15	1.17	26912.0	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	19:11:17	1.17	1.17	26911.9	   	   	5.4	5.4	2.2	3.2	2.2	3.3	
02/09/2025	19:01:17	1.15	1.17	26911.7	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	18:51:17	1.15	1.17	26911.5	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	18:41:17	1.16	1.17	26911.3	   	   	5.4	5.4	2.2	3.2	2.2	3.3	
02/09/2025	18:31:17	1.14	1.17	26911.1	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	18:21:17	1.14	1.17	26910.9	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	18:11:17	1.15	1.17	26910.7	   	   	5.3	5.4	2.2	3.2	2.2	3.2	
02/09/2025	18:01:17	1.15	1.17	26910.5	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	17:51:17	1.15	1.17	26910.3	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	17:41:17	1.15	1.17	26910.2	   	   	5.3	5.4	2.2	3.2	2.2	3.3	
02/09/2025	17:31:17	1.15	1.17	26910.0	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	17:21:17	1.15	1.15	26909.8	   	   	5.3	5.3	2.1	3.2	2.2	3.2	
02/09/2025	17:11:17	1.14	1.17	26909.6	   	   	5.3	5.4	2.2	3.2	2.2	3.2	
02/09/2025	17:01:17	1.15	1.17	26909.4	   	   	5.3	5.4	2.1	3.2	2.2	3.2	
02/09/2025	16:51:17	1.15	1.17	26909.2	   	   	5.3	5.4	2.2	3.2	2.2	3.2	
02/09/2025	16:41:17	1.12	1.17	26909.0	   	   	5.2	5.4	2.1	3.2	2.2	3.2	
02/09/2025	16:31:17	1.15	1.17	26908.8	   	   	5.3	5.4	2.1	3.2	2.2	3.2	
02/09/2025	16:21:16	1.15	1.17	26908.7	   	   	5.3	5.4	2.2	3.2	2.2	3.2	
02/09/2025	16:11:16	1.12	1.17	26908.5	   	   	5.2	5.4	2.1	3.2	2.2	3.2	
02/09/2025	16:01:16	1.12	1.15	26908.3	   	   	5.2	5.3	2.1	3.2	2.2	3.2	
02/09/2025	15:51:16	1.15	1.17	26908.1	   	   	5.3	5.4	2.2	3.2	2.2	3.2	
02/09/2025	15:41:16	1.12	1.17	26907.9	   	   	5.2	5.4	2.1	3.2	2.2	3.2	
02/09/2025	15:31:16	1.12	1.15	26907.7	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	15:21:16	1.12	1.17	26907.5	   	   	5.2	5.4	2.1	3.2	2.2	3.2	
02/09/2025	15:11:16	1.12	1.15	26907.3	   	   	5.2	5.3	2.1	3.2	2.2	3.3	
02/09/2025	15:01:16	1.14	1.17	26907.2	   	   	5.3	5.4	2.2	3.2	2.2	3.2	
02/09/2025	14:51:16	1.12	1.15	26907.0	   	   	5.2	5.3	2.1	3.2	2.2	3.2	
02/09/2025	14:41:16	1.15	1.17	26906.8	   	   	5.3	5.4	2.2	3.2	2.2	3.2	
02/09/2025	14:31:16	1.15	1.15	26906.6	   	   	5.3	5.3	2.1	3.2	2.1	3.2	
02/09/2025	14:21:16	1.12	1.15	26906.4	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	14:11:16	1.12	1.15	26906.2	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	14:01:16	1.12	1.15	26906.0	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	13:51:16	1.12	1.15	26905.8	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	13:41:16	1.12	1.15	26905.7	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	13:31:16	1.14	1.15	26905.5	   	   	5.3	5.3	2.1	3.2	2.1	3.2	
02/09/2025	13:21:16	1.12	1.15	26905.3	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	13:11:16	1.15	1.15	26905.1	   	   	5.3	5.3	2.1	3.2	2.1	3.2	
02/09/2025	13:01:16	1.14	1.15	26904.9	   	   	5.3	5.3	2.1	3.2	2.1	3.2	
02/09/2025	12:51:16	1.12	1.15	26904.7	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
