Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 0A2110G04928

Model Number: AP8853
RPDU Serial Number: 0A2110G05188
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	17:54:56	apc488888	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:0A2110G05188)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/10/2025	00:44:50	0.63	0.65	12669.2	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	00:34:50	0.63	0.63	12669.1	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/10/2025	00:24:50	0.63	0.65	12669.0	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	00:14:50	0.63	0.65	12668.9	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	00:04:50	0.65	0.65	12668.8	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	23:54:50	0.63	0.65	12668.7	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	23:44:50	0.63	0.65	12668.6	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	23:34:50	0.65	0.65	12668.5	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	23:24:50	0.63	0.65	12668.4	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	23:14:49	0.65	0.65	12668.3	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	23:04:49	0.63	0.65	12668.2	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	22:54:49	0.65	0.65	12668.1	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	22:44:49	0.63	0.63	12668.0	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/09/2025	22:34:49	0.63	0.63	12667.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	22:24:49	0.63	0.63	12667.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	22:14:49	0.63	0.63	12667.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	22:04:49	0.63	0.63	12667.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	21:54:49	0.63	0.63	12667.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	21:44:49	0.63	0.63	12667.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	21:34:49	0.63	0.63	12667.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	21:24:49	0.63	0.63	12667.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/09/2025	21:14:49	0.63	0.63	12667.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
